File_Location,File_Name,File_Type,First_50_Bytes
C:\Users\John\Desktop\File,File052,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File053,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File054,Windows_Script_Component_UTF_8_1,ef bb bf 3c 23 0a 2e 53 59 4e 4f 50 53 49 53 0a 09 49 6e 73 74 61 6c 6c 73 20 47 69 74 20 66 6f 72 20 57 69 6e 64 6f 77 73 0a 2e 44 45 53 43 52 49 50
C:\Users\John\Desktop\File,File055,None,43 44 30 30 14 00 06 00 08 00 00 00 21 00 a9 90 c0 ad 7b 03 00 00 d3 10 00 00 14 00 00 00 70 70 74 2f 70 72 65 73 65 6e 74 61 74 69 6f 6e 2e 78 6d 6c
C:\Users\John\Desktop\File,File056,PKZIP_archive_1,50 4b 03 04 0a 00 00 00 00 00 00 00 21 00 ff ff ff ff f3 01 00 00 f3 01 00 00 10 00 00 00 5b 74 72 61 73 68 5d 2f 30 30 30 30 2e 64 61 74 ff ff ff ff
C:\Users\John\Desktop\File,File057,Windows_Script_Component_UTF_8_1,ef bb bf 3c 23 0a 2e 53 59 4e 4f 50 53 49 53 0a 09 45 6e 61 62 6c 65 73 20 74 68 65 20 67 6f 64 20 6d 6f 64 65 0a 2e 44 45 53 43 52 49 50 54 49 4f 4e
C:\Users\John\Desktop\File,File058,None,20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00 20 00
C:\Users\John\Desktop\File,File059,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd e9 b3 6d 49 76
C:\Users\John\Desktop\File,File060,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File061,None,40 65 63 68 6f 20 6f 66 66 0d 0a 73 65 74 20 2f 61 20 64 65 6c 61 79 3d 25 72 61 6e 64 6f 6d 25 20 25 25 20 35 20 2b 20 31 0d 0a 74 69 6d 65 6f 75 74
C:\Users\John\Desktop\File,File062,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File063,MP3_audio_file,49 44 33 31 2e 34 0d 25 80 84 88 8c 90 94 98 9c a0 a4 a8 ac b0 b4 b8 bc c0 c4 c8 cc d0 d4 d8 dc e0 e4 e8 ec f0 f4 f8 fc 0d 0d 31 20 30 20 6f 62 6a 0d
C:\Users\John\Desktop\File,File064,None,5b 4c 6f 63 61 6c 69 7a 65 64 46 69 6c 65 4e 61 6d 65 73 5d 0d 0a 62 69 6f 63 68 65 6d 5f 6d 65 64 2d 32 33 2d 32 2d 31 34 33 2d 33 2e 70 64 66 3d 40
C:\Users\John\Desktop\File,File065,None,49 53 43 20 4c 69 63 65 6e 73 65 0d 0a 0d 0a 43 6f 70 79 72 69 67 68 74 20 28 63 29 20 5b 79 65 61 72 5d 20 5b 66 75 6c 6c 6e 61 6d 65 5d 0d 0a 0d 0a
C:\Users\John\Desktop\File,File066,None,25 50 44 46 2d 31 2e 37 0a 25 e2 e3 cf d3 0a 36 20 30 20 6f 62 6a 0a 3c 3c 2f 46 69 6c 74 65 72 2f 46 6c 61 74 65 44 65 63 6f 64 65 2f 4c 65 6e 67 74
C:\Users\John\Desktop\File,File067,Windows_DOS_executable_file,4d 5a 93 00 03 00 00 00 20 00 00 00 ff ff 07 00 00 01 65 40 00 00 00 00 40 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File068,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd 59 af 24 4b 92
C:\Users\John\Desktop\File,File069,None,89 50 4e 47 0d 0a 1a 0a e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b
C:\Users\John\Desktop\File,File070,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd 49 b3 65 4b 76
C:\Users\John\Desktop\File,File071,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
